64

19 302
19 1 45
10 19 48
12 18 76
3 10 29
10 12 67
16 11 17
4 8 23
7 7 75
1 16 76
7 1 15
4 7 57
4 9 58
2 14 67
11 10 18
3 17 10
11 17 46
15 6 47
3 1 50
15 8 68
13 9 29
19 3 92
5 19 50
19 3 28
6 14 60
3 11 90
16 14 32
3 11 56
19 14 35
4 17 77
13 5 89
15 15 55
11 9 24
10 4 93
4 2 41
11 8 98
3 14 83
13 10 13
5 2 16
2 12 67
3 18 91
14 16 54
1 11 17
4 7 88
2 2 88
10 18 85
1 17 87
10 9 98
9 1 13
1 10 33
18 1 26
12 7 23
19 3 18
6 9 59
4 5 78
2 2 84
15 7 66
1 10 13
1 7 25
8 5 42
8 2 93
12 17 14
11 7 62
19 14 65
1 4 12
3 12 0
6 10 23
15 8 20
3 16 53
4 9 41
2 19 53
15 9 80
19 6 27
10 3 12
10 4 27
3 6 8
12 5 93
1 16 69
13 8 87
18 19 11
18 13 74
4 14 4
9 1 22
11 17 52
12 13 1
14 6 0
15 2 32
11 2 67
18 14 67
15 6 9
8 18 88
18 12 96
18 17 48
12 3 58
5 13 45
10 17 68
8 1 32
10 13 8
1 2 70
7 4 21
2 1 56
13 9 80
7 4 21
6 4 10
19 15 59
13 15 47
11 9 83
4 18 59
5 15 98
5 13 39
2 4 92
10 17 84
10 10 19
14 19 75
6 18 2
18 17 52
7 7 29

29 510
18 2 67
11 7 45
12 17 97
15 11 57
17 4 97
28 3 11
6 1 88
5 29 24
8 29 59
23 3 30
24 27 60
22 22 40
10 16 60
20 23 23
15 16 19
9 16 37
9 22 31
1 29 27
29 1 27
23 11 57
13 15 53
26 29 79
12 24 95
5 1 18
12 14 63
19 15 84
11 5 81
2 1 1
3 21 90
5 20 64
20 12 81
19 28 10
13 28 48
5 8 92
19 7 51
4 20 23
29 5 18
21 28 78
13 13 25
24 19 24
7 19 53
26 1 23
24 1 79
2 11 81
29 18 52
19 7 16
16 6 58
14 8 10
18 12 2
8 17 59
26 27 46
18 19 11
18 29 38
29 6 74
17 17 85
15 16 38
12 11 17
20 26 4
2 3 52
10 14 52
8 19 19
18 1 87
18 29 14
15 22 54
2 8 98
18 22 98
20 17 33
16 28 69
18 22 89
23 26 18
12 8 81
4 15 82
3 3 44
16 8 99
23 4 80
15 8 86
24 26 39
22 18 45
6 22 18
3 26 9
10 3 28
25 8 23
27 10 55
26 12 16
29 29 26
7 11 24
24 9 50
12 19 23
4 6 99
22 11 83
24 10 78
3 12 51
4 17 94
7 25 21
7 12 86
9 29 39
17 15 26
27 25 36
4 5 35
14 12 67
15 21 0
26 3 19
6 29 5
1 24 3
4 6 16
24 17 25
10 25 16
5 28 81
1 5 16
5 14 89
17 8 13
19 25 63
11 7 68
26 13 82
2 25 73
10 7 69
27 25 44
17 2 2
21 27 14
26 17 36
25 21 98
20 11 30
18 10 37
22 14 12
18 18 29
16 18 26
11 21 44
5 16 60
23 24 59
10 16 80
23 20 38
25 11 91
5 5 0
18 17 28
27 17 76
16 19 10
28 14 11
14 6 48
29 14 49
15 5 83
5 13 91
8 17 35
12 4 30
21 29 96
8 17 63
18 15 9
2 27 54
7 21 91
12 11 74
16 23 71
21 16 16
29 22 61
24 24 83
15 29 23
3 23 42
17 6 73
6 4 89
27 29 88
29 1 80
23 2 74
1 26 0
22 9 50
16 28 63
16 29 94
1 14 21
6 27 19
1 7 3
21 10 36
21 12 63
23 4 41
11 3 48
19 15 80
9 18 24
29 15 60
5 27 87
2 4 17
1 18 63
10 9 79
21 17 4
16 25 64
19 18 83
25 19 81
5 26 67
19 27 76
9 27 84
4 27 84
14 3 51
22 29 77
1 9 46
18 17 96
6 11 99
17 14 53
13 28 64
2 12 43
28 4 37
17 22 66
11 12 49
10 2 46
10 1 37
26 5 94
7 25 53
13 25 14
3 13 62
14 12 17
10 14 43
2 24 79
13 1 42
14 19 47
6 22 73
3 25 24
27 8 17
14 4 34
26 9 58
1 17 60
14 27 65
1 5 56
1 21 22
11 17 62
3 23 57
19 29 1
26 3 95
22 26 38
22 10 36
9 10 52
6 23 31
3 8 14
15 23 66
2 21 85
16 24 73
8 24 65
2 27 9
27 18 56
29 23 23
9 17 73
23 2 75
1 1 74
23 21 0
6 4 96
21 19 13
15 15 74
4 21 6
22 16 26
7 11 22
23 19 99
17 7 70
9 21 4
22 29 53
25 14 43
14 29 84
20 23 37
4 3 51
19 6 75
22 6 50
3 26 60
9 4 11
21 17 33
12 9 92
17 15 55
17 18 59
10 12 76
5 12 25
2 8 62
7 25 47
24 20 4
19 29 6
6 25 79
14 21 47
20 10 12
29 23 20
11 4 35
14 5 79
22 1 63
17 8 17
7 6 59
27 28 40
14 1 82
6 15 89
15 11 66
29 16 4
3 8 91
29 2 64
29 28 23
28 27 46
5 23 79
3 14 88
24 14 82
9 28 44
12 17 69
19 18 13
19 17 35
20 27 15
10 13 27
7 20 37
22 6 91
27 28 47
11 11 11
1 28 61
18 21 50
27 20 37
14 10 46
11 2 65
23 15 69
5 19 30
11 29 8
1 28 20
3 29 54
1 16 41
21 12 73
3 11 18
12 29 80
14 6 55
20 24 2
9 22 2
29 18 99
19 7 22
10 13 15
26 22 55
29 3 40
3 21 37
2 8 65
28 8 53
22 18 22
6 6 99
24 28 25
22 22 92
26 17 46
11 15 52
13 13 22
25 23 54
3 7 90
10 24 28
20 24 34
17 7 76
15 26 86
29 8 75
16 9 12
22 11 55
5 9 94
20 27 6
18 19 62
12 11 89
28 15 48
5 12 88
1 14 67
1 2 82
9 3 6
11 29 54
19 29 35
16 3 87
5 2 1
8 4 42
22 28 62
25 13 85
9 14 62
2 22 71
4 29 51
25 15 1
24 22 73
18 4 41
20 19 7
15 22 19
13 20 4
25 25 96
1 4 73
23 5 71
14 6 15
28 28 67
20 10 88
16 2 68
26 2 22
10 27 55
29 1 13
24 9 92
20 13 32
16 26 0
14 11 31
12 20 79
22 25 1
15 15 34
16 23 64
13 13 49
5 17 27
6 17 12
18 12 43
6 8 29
16 17 93
28 3 87
15 17 64
29 13 92
15 16 68
19 15 97
28 15 52
15 14 39
27 29 53
26 13 71
5 5 14
8 9 47
24 17 39
28 25 82
6 3 93
12 4 93
26 1 93
2 24 3
2 23 67
6 11 68
2 25 7
3 25 63
19 16 68
7 20 75
9 16 18
4 18 61
25 10 5
20 20 29
13 16 46
15 9 2
10 19 74
27 26 13
5 18 53
16 18 10
24 15 29
12 10 30
13 23 58
4 17 70
11 12 4
20 8 17
1 1 30
18 25 59
7 14 53
16 22 51
22 6 88
2 28 56
17 23 0
4 6 63
7 8 51
14 23 31
6 15 24
23 8 37
7 28 32
20 22 31
26 24 9
24 28 89
9 7 27
15 19 86
14 26 91
28 22 44
13 22 47
13 14 75
11 2 44
24 10 55
19 3 72
17 18 75
15 6 95
25 1 94
21 21 39
6 17 42
19 27 15
3 5 42
4 26 37
5 24 98
8 13 32
25 27 24
22 27 34
15 7 61
6 21 70
14 20 14
11 18 26
7 20 30
3 5 15
27 21 66
2 2 13
29 23 19
26 2 25
3 16 5
24 18 99
6 4 98
23 23 3
13 3 4
17 13 86
29 11 39
2 22 20
24 2 1
17 7 56
24 5 84
5 8 29
8 17 81
1 10 82
3 13 49
8 7 26
18 4 0
2 10 19
4 26 17
2 4 22
6 29 16
14 27 13
1 3 34
10 21 46
14 25 71
13 5 45
8 1 82
17 25 96
6 14 58
9 25 34
8 16 49
26 1 62
28 19 19
12 15 75
28 3 81
3 23 93
24 13 98
20 13 39

20 167
15 5 60
4 1 97
6 8 51
17 13 70
4 3 27
5 19 78
11 2 53
1 20 24
1 11 78
6 8 28
2 8 88
2 6 34
9 9 77
14 12 35
8 19 11
6 10 67
19 3 51
18 19 33
1 17 14
8 5 86
8 5 91
13 19 32
13 9 73
4 4 34
3 7 59
12 14 6
6 18 83
4 11 41
1 17 11
17 15 91
14 6 30
12 10 37
12 16 61
7 10 54
14 9 37
19 7 91
16 10 94
19 3 99
7 14 35
2 17 75
7 8 3
17 5 56
12 7 20
13 13 71
13 10 98
19 14 63
20 8 81
2 20 9
8 15 27
4 2 53
3 5 26
8 2 85
6 2 61
18 13 84
19 3 88
4 6 80
12 20 70
3 9 41
17 16 34
18 1 61
14 20 17
15 5 79
8 18 38
1 2 55
15 2 84
13 2 63
12 4 38
20 5 49
7 19 3
19 13 79
18 2 8
2 13 94
19 4 88
12 19 16
13 4 48
6 19 34
1 17 86
5 19 37
16 2 48
20 14 94
1 14 85
13 8 94
8 9 8
7 5 86
2 5 70
20 19 94
8 6 40
18 15 32
20 4 57
5 10 4
10 7 83
18 2 15
6 10 79
2 8 67
18 18 33
8 5 14
13 17 25
20 9 4
3 18 2
4 2 73
11 17 97
12 12 38
13 4 35
20 11 32
10 16 45
14 2 74
10 7 2
10 3 66
8 5 5
9 18 19
18 7 3
1 6 45
4 13 88
14 18 40
1 15 91
2 10 12
20 12 45
3 10 86
7 16 16
17 7 95
3 10 75
20 7 92
5 15 13
2 7 68
16 19 74
5 11 14
8 9 56
18 7 75
5 15 29
11 10 16
13 6 64
19 10 66
14 3 18
20 4 2
10 18 3
13 12 70
13 20 27
19 8 26
6 17 83
15 5 59
12 9 70
2 8 22
16 6 60
19 20 25
16 15 57
20 5 98
19 4 10
6 11 42
3 14 33
19 6 98
8 16 84
15 10 16
12 10 89
11 8 64
5 17 15
1 15 10
5 18 69
7 12 0
12 5 25
17 15 79
12 20 78
1 8 37
3 17 71
2 13 54
18 8 36
4 11 72
13 12 32

19 117
19 8 24
16 8 80
16 11 35
2 8 74
10 15 33
1 4 29
6 13 41
9 12 21
18 10 11
16 17 22
2 14 34
6 6 23
13 17 43
1 6 42
13 10 77
16 9 36
7 4 48
15 7 97
5 12 69
3 6 74
16 7 80
2 10 80
15 6 90
17 18 42
7 10 21
12 11 78
16 12 47
3 16 70
12 7 4
17 17 23
4 2 81
10 4 2
12 11 17
11 12 63
1 10 12
8 1 51
16 7 7
10 14 27
16 19 80
13 9 76
12 18 90
15 4 4
4 7 97
15 6 8
5 19 32
5 16 46
8 5 86
2 10 53
17 14 47
7 7 34
2 16 40
5 6 98
11 5 40
14 12 3
13 11 82
9 6 46
13 6 29
19 2 78
13 7 13
16 8 40
12 18 84
17 2 26
18 16 72
11 17 88
2 10 40
4 4 93
6 18 98
4 1 14
10 5 70
14 4 96
10 5 70
11 11 80
4 17 36
1 12 81
7 1 77
7 18 8
5 5 21
5 2 1
7 17 7
10 3 84
11 2 68
18 16 98
13 5 77
5 8 45
3 6 57
1 17 95
6 13 5
4 12 68
17 14 14
16 3 5
18 6 85
11 15 39
12 12 44
19 12 74
2 9 69
19 12 68
12 18 68
1 12 16
14 5 26
17 6 20
19 11 95
15 7 72
4 4 80
16 11 7
2 19 34
14 10 92
12 1 40
2 14 95
6 7 68
8 1 60
18 7 13
5 11 43
6 3 51
13 9 66
12 11 82
18 18 64
18 2 50

28 92
3 3 56
27 20 14
25 11 44
8 8 21
23 28 70
17 26 99
28 17 35
16 10 57
10 1 24
7 6 30
10 27 84
13 17 6
23 1 41
15 22 89
14 28 32
23 27 26
11 6 86
20 15 33
4 15 92
9 14 53
19 2 68
7 21 17
19 6 37
12 3 64
23 19 26
21 1 35
26 11 81
25 21 55
23 1 30
8 7 69
10 3 93
14 20 16
19 5 98
21 13 85
23 19 0
23 10 63
17 7 23
21 26 17
22 20 1
12 17 3
26 7 55
1 15 92
5 13 69
2 14 31
20 11 63
2 18 1
20 13 71
18 6 11
21 23 4
10 19 93
16 22 84
14 6 97
26 15 97
24 14 73
6 5 42
7 2 30
19 5 23
25 8 50
3 20 71
21 9 16
14 9 5
3 6 80
17 3 13
2 5 98
18 19 73
3 25 42
7 4 16
27 15 71
18 14 75
11 18 77
19 3 86
25 15 3
11 12 26
27 19 74
18 4 76
14 23 97
2 3 92
16 2 82
1 25 80
19 23 42
5 9 60
20 24 70
3 26 22
5 17 61
21 21 11
15 2 68
17 26 62
19 13 15
27 25 30
5 27 30
13 23 32
21 10 41

3 1
2 3 81

8 41
4 6 68
6 8 88
6 5 50
4 1 65
7 2 47
3 4 30
8 7 62
4 4 55
1 3 95
7 8 86
4 8 77
3 8 96
8 7 13
8 8 14
1 4 58
5 2 84
3 8 50
6 8 61
8 7 72
7 5 65
6 2 47
6 2 2
4 7 69
3 2 68
6 8 15
7 4 52
7 2 64
6 8 98
4 8 75
1 1 38
2 8 93
4 3 58
2 8 23
3 4 90
2 7 25
5 3 74
7 3 21
6 5 79
5 4 4
6 3 91
5 8 27

28 536
26 21 30
4 22 1
13 21 92
16 2 99
5 15 57
16 25 32
8 6 56
27 6 8
3 7 98
4 8 81
24 18 74
1 4 91
21 24 99
23 11 31
9 5 90
17 21 22
6 21 33
23 1 48
2 7 7
21 12 93
10 11 72
25 6 83
21 17 99
15 1 0
19 23 74
11 22 10
16 7 42
16 12 15
7 27 13
18 4 70
12 24 14
18 11 28
18 10 64
2 18 12
25 4 27
18 10 13
8 4 56
3 15 11
1 21 38
16 27 84
11 10 34
5 14 9
15 14 54
16 19 68
20 10 33
13 3 93
17 3 66
3 6 42
23 21 68
6 1 1
27 23 88
12 17 51
25 11 23
27 7 53
8 5 97
23 26 76
25 9 52
15 23 68
7 11 43
19 12 89
14 1 30
14 24 80
8 23 19
15 21 64
19 6 26
16 22 86
8 22 4
14 23 40
9 10 6
20 19 40
4 18 79
27 26 4
22 6 81
14 6 60
3 20 14
24 26 76
1 10 88
7 3 71
28 9 69
19 18 97
20 17 60
17 13 96
6 22 58
11 10 19
15 9 84
24 25 50
18 13 45
20 21 22
12 14 48
1 27 72
17 3 82
1 23 9
6 14 33
28 9 75
8 2 1
4 8 87
17 10 23
21 24 60
6 28 43
4 4 78
18 26 7
13 23 7
26 5 36
18 8 73
3 17 32
11 13 79
4 4 87
27 24 99
10 19 87
14 25 72
11 16 51
18 20 84
22 24 20
13 5 69
1 26 51
13 25 97
28 12 11
23 15 42
13 22 56
22 18 10
21 17 71
12 18 25
7 2 30
24 12 23
21 23 27
1 20 48
13 16 20
11 26 24
17 19 14
6 21 91
7 20 32
8 1 44
9 28 84
20 15 90
26 3 37
18 3 57
17 27 30
26 23 46
28 26 52
4 25 92
23 17 86
24 13 84
7 5 75
21 16 31
23 21 71
9 3 44
20 25 53
26 3 9
7 3 55
3 20 46
3 10 98
28 6 76
4 25 59
19 20 29
24 7 62
10 4 80
6 17 89
20 15 8
22 10 61
25 16 64
18 26 58
23 3 81
19 14 72
23 4 19
1 14 14
4 2 93
21 11 66
19 11 15
28 5 34
15 21 79
25 23 44
27 28 13
24 16 24
27 8 2
12 2 80
26 19 29
8 1 96
3 16 84
7 6 54
11 1 61
5 21 56
17 15 36
4 19 74
11 9 37
12 22 52
14 23 83
14 23 12
13 16 32
2 26 98
3 20 76
23 12 30
21 28 66
23 26 22
4 19 66
25 11 20
3 11 48
25 23 41
12 11 71
22 1 51
13 25 17
24 27 99
7 22 93
4 28 14
22 10 36
5 3 15
27 19 31
5 4 65
16 3 14
16 11 9
25 8 62
23 7 30
28 24 25
28 6 31
21 27 74
23 18 92
25 6 88
1 19 46
15 1 82
25 7 25
4 5 29
22 28 17
18 17 23
23 13 15
5 23 14
7 27 38
24 19 9
14 9 77
15 4 81
5 13 48
9 6 76
8 11 84
25 7 69
21 2 30
27 8 81
26 6 9
28 11 83
9 13 82
12 26 76
8 10 26
14 19 94
8 15 42
14 16 6
27 19 6
18 16 30
8 13 52
18 17 65
14 27 9
24 23 81
17 17 16
7 27 39
5 6 28
5 4 56
23 10 93
22 20 56
6 28 9
6 18 92
5 7 66
11 16 7
28 8 50
26 3 43
15 28 13
2 16 94
23 13 58
14 25 36
26 11 13
27 19 94
17 13 68
4 5 68
23 19 18
25 22 97
8 28 99
7 26 65
20 12 7
16 20 77
10 21 11
13 11 8
25 7 86
1 7 54
4 2 45
9 7 75
8 10 83
17 12 99
28 15 81
3 12 20
23 7 76
18 11 57
24 13 61
15 3 50
16 24 86
22 7 21
16 15 46
27 14 25
25 19 6
8 28 97
27 8 36
21 13 86
6 27 43
8 25 27
16 19 57
22 17 4
20 23 13
5 20 40
8 6 46
7 20 42
26 8 6
22 14 48
20 26 76
16 5 81
19 10 65
7 2 28
13 27 41
16 12 45
22 6 85
25 25 44
16 23 46
1 15 67
26 15 17
14 17 56
7 14 88
20 22 98
19 11 60
14 16 20
3 26 55
27 26 20
5 5 16
19 20 79
18 1 48
6 18 61
3 18 3
24 8 77
18 16 93
6 8 59
15 27 72
12 24 78
28 16 21
20 24 5
20 4 84
21 21 81
10 8 82
17 2 52
4 15 67
23 2 24
6 2 17
13 28 31
28 25 15
7 27 62
10 15 45
15 20 29
22 2 73
23 26 19
9 1 63
22 5 19
7 15 5
7 22 82
3 13 18
13 16 34
27 9 60
18 22 94
3 12 48
12 23 29
24 22 16
1 9 0
27 3 94
20 13 20
17 8 58
4 2 81
12 26 93
18 4 80
13 24 73
7 6 56
28 10 83
21 6 71
23 24 47
19 5 29
26 19 96
11 8 20
9 22 59
12 2 63
20 27 60
25 11 24
18 7 26
23 10 81
3 25 57
7 10 63
25 26 82
17 15 83
22 22 6
23 9 6
21 13 81
16 1 28
6 7 80
27 13 1
23 10 44
16 26 50
25 20 44
11 23 84
17 9 52
25 15 93
22 5 39
6 25 12
13 14 19
25 19 96
18 3 18
15 1 28
18 17 11
13 2 11
5 2 2
20 8 94
8 19 2
4 23 35
17 14 21
20 22 81
6 28 49
7 12 86
7 11 53
8 19 34
22 9 66
1 3 55
19 17 6
26 25 1
23 10 20
1 7 97
12 12 80
24 6 17
18 27 7
20 10 46
28 4 17
14 15 26
3 1 18
27 6 33
20 3 34
10 12 88
21 12 96
10 17 76
21 25 7
2 27 48
17 20 68
4 23 63
16 21 33
22 22 31
8 20 93
3 13 40
14 17 5
14 21 89
10 4 78
8 17 26
28 21 71
6 8 28
10 25 51
4 12 50
23 25 75
19 1 98
8 26 16
28 15 13
16 10 55
16 12 52
20 28 0
11 4 15
8 23 80
19 13 61
28 9 44
28 11 15
26 28 9
24 13 76
5 12 44
1 21 19
12 21 2
27 4 61
5 20 59
17 1 30
9 14 9
20 21 36
3 2 3
27 7 16
11 7 16
15 6 80
7 20 36
22 9 59
25 8 73
25 27 33
22 20 42
14 28 74
16 3 81
6 16 31
24 24 38
1 4 8
20 1 46
28 4 52
19 6 41
17 27 45
8 5 77
19 20 83
6 25 28
21 17 23
28 19 44
3 19 91
15 17 79
19 21 62
24 2 53
6 7 60
11 20 16
14 15 80
10 20 42
10 11 55
28 20 87
2 23 6
18 27 45
22 5 87
23 11 45
1 19 96
5 15 22
19 3 68
22 10 9
5 21 78
8 25 8
2 11 35
12 28 69
17 16 6
11 9 4
13 22 98
27 12 91
2 12 59
11 9 37
15 27 55
11 27 87
6 23 30
17 8 71
4 22 47
25 2 67
18 17 37
13 16 17
24 7 75
16 12 40
26 11 58
9 26 33
3 20 3

3 3
3 1 21
1 1 10
1 3 4

27 254
15 14 3
6 2 78
24 20 71
26 25 81
19 20 66
14 11 70
5 6 50
24 17 3
2 12 16
26 15 76
1 5 62
18 12 31
11 16 56
8 23 23
16 25 96
15 23 53
20 24 52
25 13 76
9 22 59
23 16 97
16 10 84
17 18 53
21 5 52
16 5 15
3 18 33
14 12 35
10 18 86
12 2 63
22 25 54
10 6 2
8 18 99
26 4 46
19 7 75
12 20 57
3 18 72
3 15 92
20 16 35
10 26 2
7 6 46
2 10 39
19 26 0
11 4 1
17 13 68
25 16 57
15 24 45
19 22 79
23 7 13
21 2 3
15 23 75
14 12 38
12 27 95
4 22 78
6 4 91
10 20 92
22 5 42
17 24 80
23 18 88
13 5 4
25 17 45
9 8 63
24 1 62
18 1 45
10 11 5
19 16 71
23 3 0
9 20 15
26 1 62
3 20 76
8 22 58
16 12 60
16 3 21
16 22 40
15 2 72
4 2 83
22 12 32
14 17 16
3 26 13
11 4 88
6 11 98
6 14 16
24 26 86
19 24 99
9 12 37
26 25 92
11 3 55
16 8 69
14 5 66
18 16 34
17 19 77
3 3 45
2 1 49
25 15 56
25 21 62
11 15 21
13 1 8
9 24 76
13 6 40
18 6 67
9 6 80
11 10 90
12 9 9
15 15 11
24 17 36
1 11 56
17 19 7
14 11 20
8 17 13
3 15 49
8 3 18
6 7 22
14 14 24
17 26 16
6 9 97
16 4 5
8 10 35
7 18 38
12 7 36
27 8 99
2 16 56
9 5 89
11 20 91
25 20 65
22 11 69
26 26 63
24 14 70
14 8 0
20 14 29
17 1 2
21 6 81
25 18 98
6 9 96
14 2 84
25 11 74
12 15 53
26 8 31
22 23 15
8 7 28
9 2 85
14 12 86
5 7 50
2 16 51
19 7 13
2 23 6
17 23 78
13 20 34
24 3 62
3 27 0
20 21 37
4 4 71
27 7 62
15 23 48
10 6 20
22 14 47
17 24 99
25 3 38
1 22 35
16 25 42
9 19 42
12 10 35
7 3 52
18 1 46
23 15 10
26 21 84
22 1 39
13 13 80
24 10 91
21 19 38
1 4 98
26 25 8
1 11 6
17 23 90
5 11 63
25 24 90
14 16 26
26 23 53
24 17 52
4 11 91
24 9 66
10 26 70
20 5 22
4 1 89
3 3 66
26 17 79
14 1 23
26 7 1
4 15 51
4 18 8
12 4 15
27 16 65
4 16 94
5 16 6
23 21 47
12 4 27
13 10 34
8 19 57
22 14 27
2 6 35
21 17 24
25 8 88
13 24 38
17 5 80
11 21 57
14 23 84
12 1 98
19 20 83
6 26 40
27 25 24
16 26 28
12 12 18
8 13 17
1 2 98
21 26 0
5 19 92
5 13 50
25 18 53
12 20 52
25 17 1
24 3 9
24 26 39
10 3 12
27 8 18
14 19 19
6 13 10
18 9 18
24 17 81
17 5 5
22 25 17
13 6 55
11 18 45
2 14 75
26 6 30
17 14 47
3 15 31
11 9 67
27 7 57
20 19 85
6 4 90
27 13 97
17 19 38
19 10 29
24 26 89
10 14 18
13 15 68
21 11 26
1 12 98
19 26 87
11 2 95
23 15 77
3 14 40
1 23 77
26 22 46
1 20 71
5 7 69
4 12 4

23 27
7 8 36
5 23 1
19 13 55
11 12 59
6 9 53
7 15 24
15 21 88
13 7 23
11 17 26
18 17 55
2 15 35
19 8 1
8 20 63
13 7 54
16 4 38
7 9 98
21 5 9
21 10 91
14 8 43
1 12 50
16 17 98
17 16 11
13 20 53
13 1 99
16 4 43
1 13 95
23 4 49

25 184
8 19 40
10 7 71
9 2 58
22 16 32
2 23 8
1 9 99
21 6 96
16 19 84
17 24 70
21 9 65
14 24 4
22 21 38
23 6 23
13 16 58
13 1 4
21 2 55
3 23 57
23 9 3
22 4 43
7 22 85
8 1 57
5 15 97
10 15 93
2 23 91
2 4 30
3 9 42
3 18 14
11 21 42
17 17 41
13 4 62
15 11 44
6 8 26
20 1 32
17 19 16
20 25 20
5 19 46
23 11 99
20 5 78
11 21 63
14 9 29
1 5 93
10 8 8
11 15 63
6 8 83
7 3 76
1 2 96
13 3 52
17 6 99
14 21 44
22 3 81
3 21 97
12 6 99
3 22 34
11 5 46
15 8 26
16 4 58
18 7 35
25 8 72
21 4 15
25 13 53
22 10 2
3 9 56
24 20 43
5 16 45
12 18 32
18 1 24
1 13 66
8 10 11
14 2 35
1 5 7
12 9 8
22 16 80
17 9 82
7 6 82
1 16 11
3 17 49
15 8 41
1 19 91
2 7 51
9 16 64
17 25 16
7 5 4
17 14 75
25 21 68
17 7 25
8 6 27
15 25 30
11 16 19
19 19 20
9 10 98
10 1 56
14 5 48
4 8 81
24 1 0
7 3 1
13 6 17
12 13 24
4 7 40
25 4 77
9 3 70
12 11 31
18 11 15
25 18 56
3 20 34
5 21 85
12 13 66
24 14 28
8 6 16
13 9 22
15 4 96
3 12 6
13 5 17
5 11 85
1 22 36
21 9 88
10 1 70
25 6 56
6 25 82
14 22 14
19 20 76
6 1 68
12 21 45
24 6 7
22 19 89
6 8 89
6 3 62
11 11 71
10 18 46
8 9 26
2 11 41
5 6 61
25 1 18
7 10 79
25 24 52
7 16 24
11 3 79
22 24 84
16 22 71
25 25 58
10 16 65
17 5 94
17 23 50
1 3 99
2 5 82
17 6 31
19 10 40
19 21 25
16 20 48
17 3 91
10 20 15
14 14 1
11 16 17
13 15 60
20 24 37
25 6 38
12 23 56
7 25 49
1 24 45
5 17 85
25 7 3
15 8 37
6 2 0
22 12 11
21 24 0
3 15 69
25 21 94
24 23 5
24 18 38
15 5 66
21 8 45
5 21 94
6 21 59
17 9 89
18 10 35
7 4 32
4 25 59
1 7 8
18 21 57
24 12 5
7 7 97
4 4 42
1 15 99
10 4 79
21 16 48

9 37
5 8 25
2 3 50
1 4 31
1 6 3
1 8 89
4 1 73
7 7 3
7 8 92
7 1 22
2 9 87
9 1 37
1 5 47
2 4 65
7 3 40
3 2 24
1 3 6
7 1 82
4 9 57
2 5 63
9 7 18
9 9 14
2 7 11
5 6 86
7 3 88
7 8 88
7 4 11
6 1 86
5 2 95
1 9 62
5 5 21
4 1 72
2 3 36
5 5 67
8 8 49
4 6 32
7 5 7
5 3 3

21 240
9 13 21
19 4 24
11 12 98
20 4 86
16 9 37
1 17 26
15 13 51
8 4 16
21 7 93
14 14 56
5 2 66
7 13 38
18 21 31
19 4 49
6 8 4
2 13 30
14 17 53
18 17 12
1 17 27
13 5 97
14 20 37
3 18 22
2 16 71
3 19 69
8 2 73
20 17 94
13 11 21
9 20 8
2 14 7
5 6 16
1 10 17
19 17 79
11 9 81
8 17 71
8 1 33
3 11 62
14 21 26
12 21 34
2 15 1
5 9 20
13 14 48
6 9 3
15 4 22
8 1 41
8 20 5
18 2 23
15 5 25
14 19 67
7 18 58
